"table","section","group_label","characteristic","gender","metric","value"
"Table 1a","Estimate ('000)","State or territory of usual residence","Tasmania","Persons","Did not use SPF30 or higher sunscreen on most days",300.4
"Table 1a","Estimate ('000)","State or territory of usual residence","Tasmania","Persons","Total",470.4
"Table 1a","Estimate ('000)","State or territory of usual residence","Northern Territory","Males","Used SPF30 or higher sunscreen on most days",36.7
"Table 1a","Estimate ('000)","State or territory of usual residence","Northern Territory","Males","Did not use SPF30 or higher sunscreen on most days",58.6
"Table 1a","Estimate ('000)","State or territory of usual residence","Northern Territory","Males","Total",96.2
"Table 1a","Estimate ('000)","State or territory of usual residence","Northern Territory","Females","Used SPF30 or higher sunscreen on most days",48.6
"Table 1a","Estimate ('000)","State or territory of usual residence","Northern Territory","Females","Did not use SPF30 or higher sunscreen on most days",47.1
"Table 1a","Estimate ('000)","State or territory of usual residence","Northern Territory","Females","Total",97.5
"Table 1a","Estimate ('000)","State or territory of usual residence","Northern Territory","Persons","Used SPF30 or higher sunscreen on most days",86.7
"Table 1a","Estimate ('000)","State or territory of usual residence","Northern Territory","Persons","Did not use SPF30 or higher sunscreen on most days",102.6
"Table 1a","Estimate ('000)","State or territory of usual residence","Northern Territory","Persons","Total",192.2
"Table 1a","Estimate ('000)","State or territory of usual residence","Australian Capital Territory","Males","Used SPF30 or higher sunscreen on most days",61.9
"Table 1a","Estimate ('000)","State or territory of usual residence","Australian Capital Territory","Males","Did not use SPF30 or higher sunscreen on most days",124.7
"Table 1a","Estimate ('000)","State or territory of usual residence","Australian Capital Territory","Males","Total",182.7
"Table 1a","Estimate ('000)","State or territory of usual residence","Australian Capital Territory","Females","Used SPF30 or higher sunscreen on most days",122.1
"Table 1a","Estimate ('000)","State or territory of usual residence","Australian Capital Territory","Females","Did not use SPF30 or higher sunscreen on most days",69.9
"Table 1a","Estimate ('000)","State or territory of usual residence","Australian Capital Territory","Females","Total",192.5
"Table 1a","Estimate ('000)","State or territory of usual residence","Australian Capital Territory","Persons","Used SPF30 or higher sunscreen on most days",186.3
"Table 1a","Estimate ('000)","State or territory of usual residence","Australian Capital Territory","Persons","Did not use SPF30 or higher sunscreen on most days",187.9
"Table 1a","Estimate ('000)","State or territory of usual residence","Australian Capital Territory","Persons","Total",378.3
"Table 1a","Estimate ('000)","Remoteness area","Major cities","Males","Used SPF30 or higher sunscreen on most days",2167.8
"Table 1a","Estimate ('000)","Remoteness area","Major cities","Males","Did not use SPF30 or higher sunscreen on most days",5580.4
"Table 1a","Estimate ('000)","Remoteness area","Major cities","Males","Total",7763.6
"Table 1a","Estimate ('000)","Remoteness area","Major cities","Females","Used SPF30 or higher sunscreen on most days",4107.6
"Table 1a","Estimate ('000)","Remoteness area","Major cities","Females","Did not use SPF30 or higher sunscreen on most days",3837.7
"Table 1a","Estimate ('000)","Remoteness area","Major cities","Females","Total",7968.4
"Table 1a","Estimate ('000)","Remoteness area","Major cities","Persons","Used SPF30 or higher sunscreen on most days",6257.9
"Table 1a","Estimate ('000)","Remoteness area","Major cities","Persons","Did not use SPF30 or higher sunscreen on most days",9414.6
"Table 1a","Estimate ('000)","Remoteness area","Major cities","Persons","Total",15733.9
"Table 1a","Estimate ('000)","Remoteness area","Inner regional","Males","Used SPF30 or higher sunscreen on most days",451.3
"Table 1a","Estimate ('000)","Remoteness area","Inner regional","Males","Did not use SPF30 or higher sunscreen on most days",1518.2
"Table 1a","Estimate ('000)","Remoteness area","Inner regional","Males","Total",1974.1
"Table 1a","Estimate ('000)","Remoteness area","Inner regional","Females","Used SPF30 or higher sunscreen on most days",864.8
"Table 1a","Estimate ('000)","Remoteness area","Inner regional","Females","Did not use SPF30 or higher sunscreen on most days",1129.4
"Table 1a","Estimate ('000)","Remoteness area","Inner regional","Females","Total",2005.7
"Table 1a","Estimate ('000)","Remoteness area","Inner regional","Persons","Used SPF30 or higher sunscreen on most days",1307.6
"Table 1a","Estimate ('000)","Remoteness area","Inner regional","Persons","Did not use SPF30 or higher sunscreen on most days",2648
"Table 1a","Estimate ('000)","Remoteness area","Inner regional","Persons","Total",3975.4
"Table 1a","Estimate ('000)","Remoteness area","Outer regional and remote","Males","Used SPF30 or higher sunscreen on most days",272.7
